Name,Website,Domain,Country,City,Niche,Employees,Revenue,Phone,Facebook,Instagram,LinkedIn,Site Health Score,Top Flaws
"Mal Heating & Plumbing","southwalesgasengineer.co.uk/gas-engineer-in-brecon","southwalesgasengineer.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Advanced Chimney Solutions","advancedchimneysolutions.co.uk","advancedchimneysolutions.co.uk","united kingdom","N/A","Building maintenance services, nec","1-10","0-500K","","","","",40,""
"Hoskins Heating","hoskinsheating.com","hoskinsheating.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Your Local Engineer - Drain Unblocking","yourlocalengineer.co.uk","yourlocalengineer.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Stockport Plumbers","stockport-plumber.co.uk","stockport-plumber.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Smc Contracts Ltd","smccontracts.com","smccontracts.com","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"Harman Electrical","harmanelectrical.co.uk","harmanelectrical.co.uk","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"Solarbarn Ltd","solarbarn.co.uk","solarbarn.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/solarbarn-ltd",40,""
"J B Furnace","jbfurnace.com","jbfurnace.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/j-b-furnace",40,""
"C & S Freeflow Drain Services","csfreeflowdrainservices.co.uk","csfreeflowdrainservices.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Universal Plumb Heat","universalplumbheat.co.uk","universalplumbheat.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Frameless Glass Curtains","fgcframeless.com","fgcframeless.com","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"Allstar Electrical Ltd","allstar-aircon.co.uk","allstar-aircon.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Fraser Engineering UK Ltd","feukltd.com","feukltd.com","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"Jh Plumbing","jhplumbingdepot.com","jhplumbingdepot.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Sweet Bakery Dublin","sweetbakerydublin.ie","sweetbakerydublin.ie","ireland","dublin","Retail bakeries","1-10","1M-5M","","","","https://www.linkedin.com/company/sweet-bakery-dublin",40,"Welcome to our bakery, where we specialize in creating delectable treats and custom cakes for all occasions. Our menu features a tantalizing array of ..."
"Thunders Bakery","thundersbakery.ie","thundersbakery.ie","ireland","N/A","Retail bakeries","1-10","500K-1M","","","","",40,""
"Bakery Shack","facebook.com/thebakeryshack-104113417687132","facebook.com","ireland","N/A","Retail bakeries","1-10","0-500K","","","","",5,""
"Mad Brothers Bakery","","N/A","ireland","dublin","Retail bakeries","1-10","0-500K","","","","",5,""
"Stafford Bakeries","staffordbakeries.ie","staffordbakeries.ie","ireland","gorey","Retail bakeries","1-10","0-500K","","","","",40,""
"The Natural Bakery","","N/A","ireland","stillorgan","Retail bakeries","1-10","0-500K","","","","",5,""
"Shnuff Bakery","","N/A","ireland","rathedmond","Retail bakeries","1-10","0-500K","","","","",5,""
"Fitzgeralds Warehouse","","N/A","ireland","knockgriffin barrymore midleton","Retail bakeries","1-10","0-500K","","","","",5,""
"Bean a Tí Bakehouse and Café","facebook.com/beanatibakery","facebook.com","ireland","N/A","Retail bakeries","1-10","0-500K","","","","",5,""
"Sweet and Sourdough","facebook.com/sweetandsourdoughwaterford","facebook.com","ireland","N/A","Retail bakeries","1-10","500K-1M","","","","",5,""
"Justo Cakes","","N/A","ireland","N/A","Retail bakeries","1-10","500K-1M","","","","",5,""
"Flynns Bakery","flynnsbakery.ie","flynnsbakery.ie","ireland","tullamore","Retail bakeries","1-10","0-500K","","","","",40,""
"The Donut Bar","","N/A","ireland","N/A","Retail bakeries","1-10","500K-1M","","","","",5,""
"Spearman's Bakery and Tearoom","","N/A","ireland","N/A","Retail bakeries","1-10","0-500K","","","","",5,""
"Altberlinerhub","","N/A","ireland","N/A","Retail bakeries","1-10","500K-1M","","","","",5,""
"riceflour Gluten Free Bakery","","N/A","ireland","ballintemple","Retail bakeries","1-10","0-500K","","","","",5,""
"An Bácús Beag (The Little Bakery)","facebook.com/anbacusbeag","facebook.com","ireland","donabate","Retail bakeries","1-10","0-500K","","","","",5,""
"J J Field And Co (bakery)","","N/A","ireland","carrigfadda","Retail bakeries","1-10","0-500K","","","","",5,""
"Bake Box","","N/A","ireland","drumacrin bundoran","Retail bakeries","1-10","0-500K","","","","",5,""
"Zest","","N/A","ireland","N/A","Retail bakeries","1-10","500K-1M","","","","",5,""
"The Rock Bakery","","N/A","ireland","townparks skerries","Retail bakeries","1-10","0-500K","","","","",5,""
"The Stuffed Olive","https://thestuffedolive.ie/","thestuffedolive.ie","ireland","Bantry","Retail bakeries","1-10","0-500K","+353 27 55883","https://www.facebook.com/thestuffedolivebantry/","https://www.instagram.com/thestuffedolivebantry/","",35,""
"A","","N/A","ireland","rathnew","Retail bakeries","1-10","0-500K","","","","",5,""
"Flynn’s Bakery & Restaurant","facebook.com/flynns-bakery-bridge-st-tullamore-1549113522036476","facebook.com","ireland","tullamore","Retail bakeries","1-10","0-500K","","","","",5,""
"Matilda's Artisan Bakery, Café, & Deli","matildas.ie","matildas.ie","ireland","N/A","Retail bakeries","1-10","0-500K","","","","",40,""
